Entry page,Site sessions,Unique visitors,Avg. time on page
/,"11,871","9,239",00m 58s
/volunteer,"2,303","1,684",03m 34s
/donate,365,318,02m 08s
/about-us,347,320,01m 32s
/our-programs,260,202,01m 17s
/contact-us-1,179,163,01m 41s
/our-team,98,90,01m 43s
/services-6,76,51,03m 52s
/full-plates-fuel-hearts,52,43,01m 51s
/crypto,46,42,00m 09s
/board-of-directors,45,37,03m 07s
/sponsorships,43,35,03m 14s
/services-3,36,32,00m 56s
/news-media,24,23,00m 32s
/gala-corporate-sponsorships,22,19,00m 38s
/bill-bio,9,8,05m 07s
/ray-bio,5,4,
